0 1152
1152 272
1424 384
1808 1200
3008 1536
4544 2400
6944 1536
8480 2400
10880 1536
12416 2400
14816 1536
16352 5472
21824 4608
26432 3936
30368 6144
36512 7872
44384 6144
50528 7872
58400 6144
64544 7872
72416 6144
78560 10944
89504 15360
104864 18240
123104 15360
138464 18240
156704 0
156704 7008
163712 4672
168384 4672
173056 16448
189504 12544
202048 7008
209056 4672
213728 4672
218400 16448
234848 12544
247392 14016
261408 4672
266080 4672
270752 4160
274912 3136
278048 14016
292064 4672
296736 4672
301408 4160
305568 3136
308704 14016
322720 4672
327392 4672
332064 4160
336224 3136
339360 14016
353376 4672
358048 4672
362720 4160
366880 3136
370016 14016
384032 4672
388704 4672
393376 4160
397536 3136
400672 14016
414688 4672
419360 4672
424032 4160
428192 3136
431328 14016
445344 4672
450016 4672
454688 4160
458848 3136
461984 14016
476000 4672
480672 4672
485344 4160
489504 3136
492640 14016
506656 4672
511328 4672
516000 4160
520160 3136
523296 14016
537312 4672
541984 4672
546656 4160
550816 3136
