0 32
32 48
80 96
176 128
304 192
496 224
720 192
912 224
1136 192
1328 224
1552 192
1744 288
2032 192
2224 256
2480 384
2864 448
3312 384
3696 448
4144 384
4528 448
4976 384
5360 480
5840 640
6480 736
7216 640
7856 736
8592 0
8592 320
8912 256
9168 256
9424 640
10064 608
10672 320
10992 256
11248 256
11504 640
12144 608
12752 512
13264 256
13520 256
13776 256
14032 224
14256 512
14768 256
15024 256
15280 256
15536 224
15760 512
16272 256
16528 256
16784 256
17040 224
17264 512
17776 256
18032 256
18288 256
18544 224
18768 512
19280 256
19536 256
19792 256
20048 224
20272 512
20784 256
21040 256
21296 256
21552 224
21776 512
22288 256
22544 256
22800 256
23056 224
23280 512
23792 256
24048 256
24304 256
24560 224
24784 512
25296 256
25552 256
25808 256
26064 224
26288 512
26800 256
27056 256
27312 256
27568 224
